sepal_length,sepal_width,petal_length,petal_width,species,image
5.1,3.5,1.4,0.2,Iris-setosa,00ea5d35aa.jpg
4.9,3,1.4,0.2,Iris-setosa,09b4632cbf.jpg
4.7,3.2,1.3,0.2,Iris-setosa,0ef9fffaf5.jpg
4.6,3.1,1.5,0.2,Iris-setosa,15cdc80d57.jpg
5,3.6,1.4,0.2,Iris-setosa,1a37baefcf.jpg
5.4,3.9,1.7,0.4,Iris-setosa,32d84c9c2f.jpg
4.6,3.4,1.4,0.3,Iris-setosa,35af907c72.jpg
5,3.4,1.5,0.2,Iris-setosa,3885ce6d63.jpg
4.4,2.9,1.4,0.2,Iris-setosa,3f7da4fc31.jpg
4.9,3.1,1.5,0.1,Iris-setosa,57e4915544.jpg
5.4,3.7,1.5,0.2,Iris-setosa,59268cb7a8.jpg
4.8,3.4,1.6,0.2,Iris-setosa,5b3cb8f13b.jpg
4.8,3,1.4,0.1,Iris-setosa,5c4ecfb6bb.jpg
4.3,3,1.1,0.1,Iris-setosa,618f3ee446.jpg
5.8,4,1.2,0.2,Iris-setosa,633e4ad1e5.jpg
5.7,4.4,1.5,0.4,Iris-setosa,667f0f3fd4.jpg
5.4,3.9,1.3,0.4,Iris-setosa,68f71330c0.jpg
5.1,3.5,1.4,0.3,Iris-setosa,6e99afe9a3.jpg
5.7,3.8,1.7,0.3,Iris-setosa,74c3a969df.jpg
5.1,3.8,1.5,0.3,Iris-setosa,7595364873.jpg
5.4,3.4,1.7,0.2,Iris-setosa,7652de79df.jpg
5.1,3.7,1.5,0.4,Iris-setosa,76f001f8ee.jpg
4.6,3.6,1,0.2,Iris-setosa,7b9efd8dcf.jpg
5.1,3.3,1.7,0.5,Iris-setosa,7d296418da.jpg
4.8,3.4,1.9,0.2,Iris-setosa,81ad98f884.jpg
5,3,1.6,0.2,Iris-setosa,830fea9655.jpg
5,3.4,1.6,0.4,Iris-setosa,8a8ba48b39.jpg
5.2,3.5,1.5,0.2,Iris-setosa,92f1f8baea.jpg
5.2,3.4,1.4,0.2,Iris-setosa,92f8b21728.jpg
4.7,3.2,1.6,0.2,Iris-setosa,931ce43060.jpg
4.8,3.1,1.6,0.2,Iris-setosa,94677c3c29.jpg
5.4,3.4,1.5,0.4,Iris-setosa,9a5a0d8e74.jpg
5.2,4.1,1.5,0.1,Iris-setosa,9a79832266.jpg
5.5,4.2,1.4,0.2,Iris-setosa,9aad38bce8.jpg
4.9,3.1,1.5,0.1,Iris-setosa,a40341151c.jpg
5,3.2,1.2,0.2,Iris-setosa,a88919feb1.jpg
5.5,3.5,1.3,0.2,Iris-setosa,bb5c53aa2a.jpg
4.9,3.1,1.5,0.1,Iris-setosa,bf5a5b27f4.jpg
4.4,3,1.3,0.2,Iris-setosa,ca3080a237.jpg
5.1,3.4,1.5,0.2,Iris-setosa,ca8b11c4eb.jpg
5,3.5,1.3,0.3,Iris-setosa,cbebe60d0d.jpg
4.5,2.3,1.3,0.3,Iris-setosa,cdbf830aaa.jpg
4.4,3.2,1.3,0.2,Iris-setosa,cfe7d30ccb.jpg
5,3.5,1.6,0.6,Iris-setosa,da41891f1c.jpg
5.1,3.8,1.9,0.4,Iris-setosa,e311bbfaeb.jpg
4.8,3,1.4,0.3,Iris-setosa,e4ff929dd3.jpg
5.1,3.8,1.6,0.2,Iris-setosa,e886e8c7a3.jpg
4.6,3.2,1.4,0.2,Iris-setosa,ee3d85d3e3.jpg
5.3,3.7,1.5,0.2,Iris-setosa,ef042f3ca0.jpg
5,3.3,1.4,0.2,Iris-setosa,fcf886ed50.jpg
7,3.2,4.7,1.4,Iris-versicolor,0a1b9a8a98.jpg
6.4,3.2,4.5,1.5,Iris-versicolor,0a5831fcf8.jpg
6.9,3.1,4.9,1.5,Iris-versicolor,0fceb55da9.jpg
5.5,2.3,4,1.3,Iris-versicolor,131ffec81f.jpg
6.5,2.8,4.6,1.5,Iris-versicolor,209dcc6064.jpg
5.7,2.8,4.5,1.3,Iris-versicolor,22178f5aca.jpg
6.3,3.3,4.7,1.6,Iris-versicolor,3223960fa8.jpg
4.9,2.4,3.3,1,Iris-versicolor,451be4a90d.jpg
6.6,2.9,4.6,1.3,Iris-versicolor,4eab48940f.jpg
5.2,2.7,3.9,1.4,Iris-versicolor,5ea23e98aa.jpg
5,2,3.5,1,Iris-versicolor,6068cc6cf1.jpg
5.9,3,4.2,1.5,Iris-versicolor,616cd67a39.jpg
6,2.2,4,1,Iris-versicolor,667a8243a8.jpg
6.1,2.9,4.7,1.4,Iris-versicolor,6e7982bbf9.jpg
5.6,2.9,3.6,1.3,Iris-versicolor,70c23852de.jpg
6.7,3.1,4.4,1.4,Iris-versicolor,722fde7c98.jpg
5.6,3,4.5,1.5,Iris-versicolor,7a43ed360d.jpg
